ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
4,Student_4,6.4,73,99.6,A,Pass,84.49999999999999
11,Student_11,1.2,86,97.5,A,Pass,76.95
22,Student_22,2.3,94,95.6,A,Pass,80.6
26,Student_26,8.1,59,99.5,A,Pass,83.65
27,Student_27,2.8,65,95.6,A,Pass,72.89999999999999
29,Student_29,6.3,66,90.5,A,Pass,77.64999999999999
43,Student_43,1.3,72,96.2,A,Pass,72.3
50,Student_50,2.7,67,95.2,A,Pass,73.10000000000001
52,Student_52,8.0,88,99.5,A,Pass,92.15
53,Student_53,9.5,66,91.1,A,Pass,84.35
55,Student_55,6.4,80,95.8,A,Pass,84.7
59,Student_59,1.4,94,92.7,A,Pass,77.35
60,Student_60,3.9,83,92.1,A,Pass,78.74999999999999
69,Student_69,1.7,64,98.5,A,Pass,71.85000000000001
73,Student_73,1.0,71,91.7,A,Pass,69.15
74,Student_74,8.3,74,95.4,A,Pass,86.5
86,Student_86,3.9,79,97.8,A,Pass,80.39999999999999
88,Student_88,6.7,62,97.9,A,Pass,80.95
103,Student_103,3.8,79,99.7,A,Pass,81.14999999999999
106,Student_106,3.2,69,99.0,A,Pass,76.60000000000001
115,Student_115,6.7,99,99.8,A,Pass,93.0
123,Student_123,3.9,64,93.2,A,Pass,73.6
142,Student_142,3.3,53,98.6,A,Pass,71.79999999999998
144,Student_144,3.7,69,97.6,A,Pass,76.9
149,Student_149,1.5,59,90.7,A,Pass,66.05
160,Student_160,7.6,72,93.5,A,Pass,83.55
161,Student_161,4.3,98,97.3,A,Pass,86.64999999999999
167,Student_167,3.9,84,90.5,A,Pass,78.25
169,Student_169,1.4,67,94.1,A,Pass,69.94999999999999
173,Student_173,5.6,81,93.7,A,Pass,82.35000000000001
188,Student_188,6.0,78,97.4,A,Pass,84.1
203,Student_203,2.5,64,98.1,A,Pass,73.25
215,Student_215,7.4,54,98.1,A,Pass,80.05
226,Student_226,3.2,83,95.7,A,Pass,79.15
232,Student_232,5.5,55,96.6,A,Pass,75.8
236,Student_236,7.5,89,93.2,A,Pass,88.3
240,Student_240,2.6,90,91.7,A,Pass,78.05
241,Student_241,9.5,62,90.8,A,Pass,83.0
242,Student_242,9.6,92,95.1,A,Pass,94.35
246,Student_246,9.4,85,90.5,A,Pass,89.55
252,Student_252,4.5,94,99.1,A,Pass,86.75
253,Student_253,8.7,100,96.2,A,Pass,95.5
261,Student_261,6.5,88,90.4,A,Pass,84.6
269,Student_269,4.2,61,92.4,A,Pass,72.9
277,Student_277,8.2,90,99.5,A,Pass,93.15
294,Student_294,4.2,77,97.5,A,Pass,80.25
299,Student_299,6.6,71,92.6,A,Pass,80.8
300,Student_300,1.8,53,99.8,A,Pass,69.39999999999999
304,Student_304,6.7,99,93.2,A,Pass,89.7
342,Student_342,5.3,84,99.9,A,Pass,85.75
343,Student_343,2.6,62,96.0,A,Pass,71.8
350,Student_350,6.6,81,90.4,A,Pass,82.7
363,Student_363,5.1,70,96.4,A,Pass,79.4
366,Student_366,4.5,86,92.4,A,Pass,81.0
367,Student_367,9.7,69,90.5,A,Pass,85.35
